# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	37744	38736	+	WP_000717456.1	WP_000717456.1		phosphate acyltransferase PlsX	plsX		SPD_RS00205	993	330	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	38742	38975	+							SPD_RS00210	234		old_locus_tag=SPD_0044
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	38742	38975	+	WP_000136447.1	WP_000136447.1		acyl carrier protein			SPD_RS00210	234	77	
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39012	39311	+							SPD_RS00215	300		partial;pseudo;old_locus_tag=SPD_0045
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39012	39311	+				transposase family protein			SPD_RS00215	300		partial;pseudo
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39514	39744	+					blpU		SPD_RS00220	231		old_locus_tag=SPD_0046
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39514	39744	+	WP_001093075.1	WP_001093075.1		bacteriocin-like peptide BlpU	blpU		SPD_RS00220	231	76	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39747	39872	+							SPD_RS11825	126		old_locus_tag=SPD_0047
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	39747	39872	+	WP_000346297.1	WP_000346297.1		PncF family bacteriocin immunity protein			SPD_RS11825	126	41	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	40224	41500	-							SPD_RS00225	1277		old_locus_tag=SPD_0048
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	40224	41500	-	WP_373032074.1	WP_373032074.1		ISL3-like element IS1167 family transposase			SPD_RS00225	1278	425	ribosomal_slippage
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	41902	44055	+					comA		SPD_RS00235	2154		old_locus_tag=SPD_0049
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	41902	44055	+	WP_000668290.1	WP_000668290.1		peptide cleavage/export ABC transporter ComA	comA		SPD_RS00235	2154	717	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	44068	45417	+					comB		SPD_RS00240	1350		old_locus_tag=SPD_0050
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	44068	45417	+	WP_000801613.1	WP_000801613.1		competence pheromone export protein ComB	comB		SPD_RS00240	1350	449	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	45587	46294	+					purC		SPD_RS00245	708		old_locus_tag=SPD_0051
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	45587	46294	+	WP_000043299.1	WP_000043299.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC		SPD_RS00245	708	235	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	46296	46439	+							SPD_RS11955	144		
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	46296	46439	+	WP_050167432.1	WP_050167432.1		hypothetical protein			SPD_RS11955	144	47	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	46496	50221	+							SPD_RS00255	3726		old_locus_tag=SPD_0052
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	46496	50221	+	WP_000361172.1	WP_000361172.1		phosphoribosylformylglycinamidine synthase			SPD_RS00255	3726	1241	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	50314	51756	+					purF		SPD_RS00260	1443		old_locus_tag=SPD_0053
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	50314	51756	+	WP_000220650.1	WP_000220650.1		amidophosphoribosyltransferase	purF		SPD_RS00260	1443	480	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	51793	52815	+					purM		SPD_RS00265	1023		old_locus_tag=SPD_0054
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	51793	52815	+	WP_000182582.1	WP_000182582.1		phosphoribosylformylglycinamidine cyclo-ligase	purM		SPD_RS00265	1023	340	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	52812	53357	+					purN		SPD_RS00270	546		old_locus_tag=SPD_0055
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	52812	53357	+	WP_000717506.1	WP_000717506.1		phosphoribosylglycinamide formyltransferase	purN		SPD_RS00270	546	181	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	53441	53950	+							SPD_RS00275	510		old_locus_tag=SPD_0056
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	53441	53950	+	WP_000894018.1	WP_000894018.1		VanZ family protein			SPD_RS00275	510	169	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	53975	55522	+					purH		SPD_RS00280	1548		old_locus_tag=SPD_0057
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	53975	55522	+	WP_000167096.1	WP_000167096.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		SPD_RS00280	1548	515	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	55644	56906	+					purD		SPD_RS00285	1263		old_locus_tag=SPD_0058
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	55644	56906	+	WP_000772191.1	WP_000772191.1		phosphoribosylamine--glycine ligase	purD		SPD_RS00285	1263	420	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57163	57279	+							SPD_RS11425	117		
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57163	57279	+	WP_001809271.1	WP_001809271.1		hypothetical protein			SPD_RS11425	117	38	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57309	57797	+					purE		SPD_RS00300	489		old_locus_tag=SPD_0059
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57309	57797	+	WP_000805601.1	WP_000805601.1		5-(carboxyamino)imidazole ribonucleotide mutase	purE		SPD_RS00300	489	162	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57784	58875	+					purK		SPD_RS00305	1092		old_locus_tag=SPD_0060
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	57784	58875	+	WP_000099031.1	WP_000099031.1		5-(carboxyamino)imidazole ribonucleotide synthase	purK		SPD_RS00305	1092	363	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	58885	59112	+							SPD_RS00310	228		old_locus_tag=SPD_0061
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	58885	59112	+	WP_000614701.1	WP_000614701.1		hypothetical protein			SPD_RS00310	228	75	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	59175	60473	+					purB		SPD_RS00315	1299		old_locus_tag=SPD_0062
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	59175	60473	+	WP_000610749.1	WP_000610749.1		adenylosuccinate lyase	purB		SPD_RS00315	1299	432	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	60528	64466	-					strH		SPD_RS00320	3939		old_locus_tag=SPD_0063
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	60528	64466	-	WP_000679943.1	WP_000679943.1		LPXTG-anchored beta-N-acetylhexosaminidase StrH	strH		SPD_RS00320	3939	1312	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	64781	65497	-							SPD_RS00325	717		old_locus_tag=SPD_0064
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	64781	65497	-	WP_001007202.1	WP_001007202.1		GntR family transcriptional regulator			SPD_RS00325	717	238	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	65845	67632	+							SPD_RS00330	1788		old_locus_tag=SPD_0065
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	65845	67632	+	WP_000196553.1	WP_000196553.1		glycoside hydrolase family 35 protein			SPD_RS00330	1788	595	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	67629	68105	+							SPD_RS00335	477		old_locus_tag=SPD_0066
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	67629	68105	+	WP_000156967.1	WP_000156967.1		PTS sugar transporter subunit IIB			SPD_RS00335	477	158	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	68133	69038	+							SPD_RS00340	906		old_locus_tag=SPD_0067
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	68133	69038	+	WP_000617001.1	WP_000617001.1		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC			SPD_RS00340	906	301	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	69025	69840	+							SPD_RS00345	816		old_locus_tag=SPD_0068
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	69025	69840	+	WP_000185298.1	WP_000185298.1		PTS system mannose/fructose/sorbose family transporter subunit IID			SPD_RS00345	816	271	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	69847	70251	+							SPD_RS00350	405		old_locus_tag=SPD_0069
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	69847	70251	+	WP_000167454.1	WP_000167454.1		PTS sugar transporter subunit IIA			SPD_RS00350	405	134	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	70550	71716	+							SPD_RS00355	1167		old_locus_tag=SPD_0070
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	70550	71716	+	WP_000903562.1	WP_000903562.1		SIS domain-containing protein			SPD_RS00355	1167	388	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	71832	72869	+							SPD_RS00360	1038		old_locus_tag=SPD_0071
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	71832	72869	+	WP_000649427.1	WP_000649427.1		aldose epimerase family protein			SPD_RS00360	1038	345	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	73076	73930	+							SPD_RS00365	855		old_locus_tag=SPD_0072
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	73076	73930	+	WP_000220694.1	WP_000220694.1		VOC family protein			SPD_RS00365	855	284	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74080	74337	+							SPD_RS00370	258		old_locus_tag=SPD_0073
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74080	74337	+	WP_000185155.1	WP_000185155.1		metal-sensitive transcriptional regulator			SPD_RS00370	258	85	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74445	74741	-							SPD_RS11430	297		
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74445	74741	-	WP_000695851.1	WP_000695851.1		hypothetical protein			SPD_RS11430	297	98	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74795	75028	-							SPD_RS00385	234		
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	74795	75028	-	WP_224782640.1	WP_224782640.1		rhodanese-like domain-containing protein			SPD_RS00385	234	77	
gene	pseudogene	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	75081	75263	-							SPD_RS00390	183		partial;pseudo
CDS	without_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	75081	75263	-				rhodanese-like domain-containing protein			SPD_RS00390	183		partial;pseudo
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	75312	76076	+							SPD_RS00395	765		old_locus_tag=SPD_0074
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	75312	76076	+	WP_000614999.1	WP_000614999.1		nucleoside phosphorylase			SPD_RS00395	765	254	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	76316	76468	-							SPD_RS10990	153		
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	76316	76468	-	WP_001828919.1	WP_001828919.1		hypothetical protein			SPD_RS10990	153	50	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	76686	78065	+							SPD_RS00410	1380		old_locus_tag=SPD_0076
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	76686	78065	+	WP_000897727.1	WP_000897727.1		TrkH family potassium uptake protein			SPD_RS00410	1380	459	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	78079	78744	+							SPD_RS00415	666		old_locus_tag=SPD_0077
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	78079	78744	+	WP_001283896.1	WP_001283896.1		potassium channel family protein			SPD_RS00415	666	221	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	79054	79593	+							SPD_RS00420	540		old_locus_tag=SPD_0078
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	79054	79593	+	WP_000771898.1	WP_000771898.1		glycosyltransferase family 2 protein			SPD_RS00420	540	179	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	79660	80070	+							SPD_RS00425	411		old_locus_tag=SPD_0079
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	79660	80070	+	WP_000291598.1	WP_000291598.1		hypothetical protein			SPD_RS00425	411	136	
gene	protein_coding	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	80186	83671	+					pavB		SPD_RS00430	3486		old_locus_tag=SPD_0080
CDS	with_protein	GCF_000014365.2	Primary Assembly	chromosome		NC_008533.2	80186	83671	+	WP_000671444.1	WP_000671444.1		fibronectin-binding SSURE repeat adhesin PavB	pavB		SPD_RS00430	3486	1161	
