# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20422	21267	+							SP_RS11515	846		pseudo
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	20422	21267	+				IS630-like element IS630-Spn1 family transposase			SP_RS11515	846		pseudo
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	21302	22099	-							SP_RS11520	798		partial;pseudo;old_locus_tag=SP_0017
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	21302	22099	-				transposase			SP_RS11520	798		partial;pseudo
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	22365	22601	+					comW		SP_RS00130	237		old_locus_tag=SP_0018
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	22365	22601	+	WP_000939545.1	WP_000939545.1		sigma(X)-activator ComW	comW		SP_RS00130	237	78	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	22832	24118	+							SP_RS00135	1287		old_locus_tag=SP_0019
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	22832	24118	+	WP_000205044.1	WP_000205044.1		adenylosuccinate synthase			SP_RS00135	1287	428	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24319	24786	+					tadA		SP_RS00140	468		old_locus_tag=SP_0020
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24319	24786	+	WP_000291875.1	WP_000291875.1		tRNA adenosine(34) deaminase TadA	tadA		SP_RS00140	468	155	
gene	SRP_RNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24819	24916	+					ffs		SP_RS11525	98		
ncRNA	SRP_RNA	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24819	24916	+				signal recognition particle sRNA small type	ffs		SP_RS11525	98		
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24973	25416	+							SP_RS00145	444		old_locus_tag=SP_0021
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	24973	25416	+	WP_000701992.1	WP_000701992.1		dUTP diphosphatase			SP_RS00145	444	147	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	25418	25933	+							SP_RS00150	516		old_locus_tag=SP_0022
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	25418	25933	+	WP_000691236.1	WP_000691236.1		histidine phosphatase family protein			SP_RS00150	516	171	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	25947	27308	+					radA		SP_RS00155	1362		old_locus_tag=SP_0023
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	25947	27308	+	WP_074017595.1	WP_074017595.1		DNA repair protein RadA	radA		SP_RS00155	1362	453	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	27381	27878	+							SP_RS00160	498		old_locus_tag=SP_0024
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	27381	27878	+	WP_001809263.1	WP_001809263.1		beta-class carbonic anhydrase			SP_RS00160	498	165	
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	27903	28717	+							SP_RS00170	815		pseudo;old_locus_tag=SP_0026
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	27903	28717	+				PrsW family intramembrane metalloprotease			SP_RS00170	815		pseudo
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	28862	29830	+							SP_RS00175	969		old_locus_tag=SP_0027
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	28862	29830	+	WP_000010163.1	WP_000010163.1		ribose-phosphate diphosphokinase			SP_RS00175	969	322	
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	29964	30245	-							SP_RS12565	282		partial;pseudo;old_locus_tag=SP_0028
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	29964	30245	-				transposase family protein			SP_RS12565	282		partial;pseudo
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	30372	31279	-							SP_RS13085	908		pseudo
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	30372	31279	-				Rpn family recombination-promoting nuclease/putative transposase			SP_RS13085	908		pseudo
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	31535	34168	+					polA		SP_RS00195	2634		old_locus_tag=SP_0032
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	31535	34168	+	WP_001808750.1	WP_001808750.1		DNA polymerase I	polA		SP_RS00195	2634	877	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	34253	34690	+							SP_RS00200	438		old_locus_tag=SP_0033
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	34253	34690	+	WP_000076479.1	WP_000076479.1		CoA-binding protein			SP_RS00200	438	145	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	34731	35012	+							SP_RS13200	282		
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	34731	35012	+	WP_001827121.1	WP_001827121.1		hypothetical protein			SP_RS13200	282	93	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	35009	36019	-							SP_RS00210	1011		old_locus_tag=SP_0034
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	35009	36019	-	WP_000009144.1	WP_000009144.1		YeiH family protein			SP_RS00210	1011	336	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	36168	37337	+							SP_RS00215	1170		old_locus_tag=SP_0035
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	36168	37337	+	WP_000366370.1	WP_000366370.1		pyridoxal phosphate-dependent aminotransferase			SP_RS00215	1170	389	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	37334	38104	+					recO		SP_RS00220	771		old_locus_tag=SP_0036
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	37334	38104	+	WP_000616164.1	WP_000616164.1		DNA repair protein RecO	recO		SP_RS00220	771	256	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	38101	39093	+					plsX		SP_RS00225	993		old_locus_tag=SP_0037
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	38101	39093	+	WP_000717458.1	WP_000717458.1		phosphate acyltransferase PlsX	plsX		SP_RS00225	993	330	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39099	39332	+							SP_RS00230	234		old_locus_tag=SP_0038
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39099	39332	+	WP_000136447.1	WP_000136447.1		acyl carrier protein			SP_RS00230	234	77	
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39369	39668	+							SP_RS00235	300		partial;pseudo;old_locus_tag=SP_0039
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39369	39668	+				transposase family protein			SP_RS00235	300		partial;pseudo
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39871	40101	+					blpU		SP_RS00240	231		old_locus_tag=SP_0041
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	39871	40101	+	WP_001093487.1	WP_001093487.1		bacteriocin-like peptide BlpU	blpU		SP_RS00240	231	76	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	40104	40229	+							SP_RS13575	126		
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	40104	40229	+	WP_000346297.1	WP_000346297.1		PncF family bacteriocin immunity protein			SP_RS13575	126	41	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	40816	42969	+					comA		SP_RS00255	2154		old_locus_tag=SP_0042
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	40816	42969	+	WP_000668284.1	WP_000668284.1		peptide cleavage/export ABC transporter ComA	comA		SP_RS00255	2154	717	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	42982	44331	+					comB		SP_RS00260	1350		old_locus_tag=SP_0043
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	42982	44331	+	WP_000801611.1	WP_000801611.1		competence pheromone export protein ComB	comB		SP_RS00260	1350	449	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	44501	45208	+					purC		SP_RS00265	708		old_locus_tag=SP_0044
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	44501	45208	+	WP_000043309.1	WP_000043309.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC		SP_RS00265	708	235	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	45210	45353	+							SP_RS13705	144		
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	45210	45353	+	WP_050167432.1	WP_050167432.1		hypothetical protein			SP_RS13705	144	47	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	45410	49135	+							SP_RS00270	3726		old_locus_tag=SP_0045
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	45410	49135	+	WP_000361188.1	WP_000361188.1		phosphoribosylformylglycinamidine synthase			SP_RS00270	3726	1241	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	49228	50670	+					purF		SP_RS00275	1443		old_locus_tag=SP_0046
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	49228	50670	+	WP_000220637.1	WP_000220637.1		amidophosphoribosyltransferase	purF		SP_RS00275	1443	480	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	50889	51911	+					purM		SP_RS00280	1023		old_locus_tag=SP_0047
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	50889	51911	+	WP_001284589.1	WP_001284589.1		phosphoribosylformylglycinamidine cyclo-ligase	purM		SP_RS00280	1023	340	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	51908	52453	+					purN		SP_RS00285	546		old_locus_tag=SP_0048
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	51908	52453	+	WP_000717501.1	WP_000717501.1		phosphoribosylglycinamide formyltransferase	purN		SP_RS00285	546	181	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	52537	53046	+							SP_RS00290	510		old_locus_tag=SP_0049
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	52537	53046	+	WP_000894006.1	WP_000894006.1		VanZ family protein			SP_RS00290	510	169	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	53071	54618	+					purH		SP_RS00295	1548		old_locus_tag=SP_0050
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	53071	54618	+	WP_000167081.1	WP_000167081.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		SP_RS00295	1548	515	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	54740	56002	+					purD		SP_RS00300	1263		old_locus_tag=SP_0051
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	54740	56002	+	WP_000772229.1	WP_000772229.1		phosphoribosylamine--glycine ligase	purD		SP_RS00300	1263	420	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56259	56375	+							SP_RS13205	117		old_locus_tag=SP_0052
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56259	56375	+	WP_001809271.1	WP_001809271.1		hypothetical protein			SP_RS13205	117	38	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56405	56893	+					purE		SP_RS00305	489		old_locus_tag=SP_0053
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56405	56893	+	WP_000805601.1	WP_000805601.1		5-(carboxyamino)imidazole ribonucleotide mutase	purE		SP_RS00305	489	162	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56880	57971	+					purK		SP_RS00310	1092		old_locus_tag=SP_0054
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	56880	57971	+	WP_000099054.1	WP_000099054.1		5-(carboxyamino)imidazole ribonucleotide synthase	purK		SP_RS00310	1092	363	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	57981	58208	+							SP_RS00315	228		old_locus_tag=SP_0055
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	57981	58208	+	WP_000614706.1	WP_000614706.1		hypothetical protein			SP_RS00315	228	75	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	58271	59569	+					purB		SP_RS00320	1299		old_locus_tag=SP_0056
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	58271	59569	+	WP_000610745.1	WP_000610745.1		adenylosuccinate lyase	purB		SP_RS00320	1299	432	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	59624	63562	-					strH		SP_RS00325	3939		old_locus_tag=SP_0057
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	59624	63562	-	WP_000679952.1	WP_000679952.1		LPXTG-anchored beta-N-acetylhexosaminidase StrH	strH		SP_RS00325	3939	1312	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	63890	64606	-							SP_RS00330	717		old_locus_tag=SP_0058
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	63890	64606	-	WP_001007202.1	WP_001007202.1		GntR family transcriptional regulator			SP_RS00330	717	238	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	64955	66742	+							SP_RS00335	1788		old_locus_tag=SP_0060
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	64955	66742	+	WP_000196556.1	WP_000196556.1		glycoside hydrolase family 35 protein			SP_RS00335	1788	595	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	66739	67215	+							SP_RS00340	477		old_locus_tag=SP_0061
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	66739	67215	+	WP_000156969.1	WP_000156969.1		PTS sugar transporter subunit IIB			SP_RS00340	477	158	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	67243	68148	+							SP_RS00345	906		old_locus_tag=SP_0062
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	67243	68148	+	WP_000616999.1	WP_000616999.1		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC			SP_RS00345	906	301	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	68135	68950	+							SP_RS00350	816		old_locus_tag=SP_0063
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	68135	68950	+	WP_000185298.1	WP_000185298.1		PTS system mannose/fructose/sorbose family transporter subunit IID			SP_RS00350	816	271	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	68957	69361	+							SP_RS00355	405		old_locus_tag=SP_0064
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	68957	69361	+	WP_000167454.1	WP_000167454.1		PTS sugar transporter subunit IIA			SP_RS00355	405	134	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	69660	70826	+							SP_RS00360	1167		old_locus_tag=SP_0065
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	69660	70826	+	WP_000903552.1	WP_000903552.1		SIS domain-containing protein			SP_RS00360	1167	388	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	70942	71979	+							SP_RS00365	1038		old_locus_tag=SP_0066
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	70942	71979	+	WP_000649425.1	WP_000649425.1		aldose epimerase family protein			SP_RS00365	1038	345	
gene	pseudogene	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	72096	73309	+							SP_RS12580	1214		pseudo;old_locus_tag=SP_0069
CDS	without_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	72096	73309	+				CAP domain-containing protein			SP_RS12580	1214		pseudo
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	73761	79331	+					zmpC		SP_RS00380	5571		old_locus_tag=SP_0071
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	73761	79331	+	WP_000088129.1	WP_000088129.1		zinc metalloprotease ZmpC	zmpC		SP_RS00380	5571	1856	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	79687	80541	+							SP_RS00385	855		old_locus_tag=SP_0073
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	79687	80541	+	WP_000220734.1	WP_000220734.1		VOC family protein			SP_RS00385	855	284	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	80647	81204	+							SP_RS00390	558		old_locus_tag=SP_0074
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	80647	81204	+	WP_000200247.1	WP_000200247.1		sugar O-acetyltransferase			SP_RS00390	558	185	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	81421	82185	+							SP_RS00395	765		old_locus_tag=SP_0075
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	81421	82185	+	WP_000615010.1	WP_000615010.1		nucleoside phosphorylase			SP_RS00395	765	254	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	82798	84177	+							SP_RS00405	1380		old_locus_tag=SP_0078
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	82798	84177	+	WP_000897727.1	WP_000897727.1		TrkH family potassium uptake protein			SP_RS00405	1380	459	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	84191	84856	+							SP_RS00410	666		old_locus_tag=SP_0079
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	84191	84856	+	WP_001283896.1	WP_001283896.1		potassium channel family protein			SP_RS00410	666	221	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	85166	85705	+							SP_RS00415	540		
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	85166	85705	+	WP_000771899.1	WP_000771899.1		glycosyltransferase family 2 protein			SP_RS00415	540	179	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	85772	86182	+							SP_RS00420	411		
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	85772	86182	+	WP_000291598.1	WP_000291598.1		hypothetical protein			SP_RS00420	411	136	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	86298	88871	+							SP_RS00425	2574		old_locus_tag=SP_0082
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	86298	88871	+	WP_000671384.1	WP_000671384.1		PavB family fibronectin-binding SSURE repeat adhesin			SP_RS00425	2574	857	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	89038	89736	+							SP_RS00430	699		old_locus_tag=SP_0083
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	89038	89736	+	WP_000520642.1	WP_000520642.1		response regulator transcription factor			SP_RS00430	699	232	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	89733	90785	+							SP_RS00435	1053		old_locus_tag=SP_0084
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	89733	90785	+	WP_000769768.1	WP_000769768.1		HAMP domain-containing sensor histidine kinase			SP_RS00435	1053	350	
gene	protein_coding	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	90980	91591	+					rpsD		SP_RS00440	612		old_locus_tag=SP_0085
CDS	with_protein	GCF_000006885.1	Primary Assembly	chromosome		NC_003028.3	90980	91591	+	WP_000092756.1	WP_000092756.1		30S ribosomal protein S4	rpsD		SP_RS00440	612	203	
