# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	21106	21902	-				transposase			SPR_RS00105	797		partial;pseudo
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	22168	22404	+					comW		SPR_RS00110	237		old_locus_tag=spr0020
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	22168	22404	+	WP_000939545.1	WP_000939545.1		sigma(X)-activator ComW	comW		SPR_RS00110	237	78	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	22635	23921	+							SPR_RS00115	1287		old_locus_tag=spr0021
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	22635	23921	+	WP_000205044.1	WP_000205044.1		adenylosuccinate synthase			SPR_RS00115	1287	428	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24122	24589	+					tadA		SPR_RS00120	468		old_locus_tag=spr0022
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24122	24589	+	WP_000291874.1	WP_000291874.1		tRNA adenosine(34) deaminase TadA	tadA		SPR_RS00120	468	155	
gene	SRP_RNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24622	24719	+					ffs		SPR_RS00125	98		
ncRNA	SRP_RNA	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24622	24719	+				signal recognition particle sRNA small type	ffs		SPR_RS00125	98		
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24776	25219	+							SPR_RS00130	444		old_locus_tag=spr0023
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	24776	25219	+	WP_000701992.1	WP_000701992.1		dUTP diphosphatase			SPR_RS00130	444	147	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	25221	25736	+							SPR_RS00135	516		old_locus_tag=spr0024
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	25221	25736	+	WP_000691236.1	WP_000691236.1		histidine phosphatase family protein			SPR_RS00135	516	171	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	25750	27111	+					radA		SPR_RS00140	1362		old_locus_tag=spr0025
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	25750	27111	+	WP_074017595.1	WP_074017595.1		DNA repair protein RadA	radA		SPR_RS00140	1362	453	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	27184	27681	+							SPR_RS00145	498		old_locus_tag=spr0026
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	27184	27681	+	WP_025170955.1	WP_025170955.1		beta-class carbonic anhydrase			SPR_RS00145	498	165	
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	27706	28489	+							SPR_RS00150	784		pseudo;old_locus_tag=spr0027
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	27706	28489	+				PrsW family glutamic-type intramembrane protease			SPR_RS00150	784		pseudo
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	28634	29602	+							SPR_RS00155	969		old_locus_tag=spr0028
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	28634	29602	+	WP_000010163.1	WP_000010163.1		ribose-phosphate diphosphokinase			SPR_RS00155	969	322	
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	29735	30016	-							SPR_RS00160	282		partial;pseudo;old_locus_tag=spr0029
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	29735	30016	-				ISL3 family transposase			SPR_RS00160	282		partial;pseudo
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	30143	31053	-							SPR_RS10525	911		pseudo
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	30143	31053	-				Rpn family recombination-promoting nuclease/putative transposase			SPR_RS10525	911		pseudo
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	31306	33939	+					polA		SPR_RS00180	2634		old_locus_tag=spr0032
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	31306	33939	+	WP_000358433.1	WP_000358433.1		DNA polymerase I	polA		SPR_RS00180	2634	877	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	34024	34461	+							SPR_RS00185	438		old_locus_tag=spr0033
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	34024	34461	+	WP_000076479.1	WP_000076479.1		CoA-binding protein			SPR_RS00185	438	145	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	34652	35662	-							SPR_RS00190	1011		old_locus_tag=spr0034
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	34652	35662	-	WP_000009141.1	WP_000009141.1		YeiH family protein			SPR_RS00190	1011	336	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	35811	36980	+							SPR_RS00195	1170		old_locus_tag=spr0035
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	35811	36980	+	WP_000366378.1	WP_000366378.1		pyridoxal phosphate-dependent aminotransferase			SPR_RS00195	1170	389	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	36977	37747	+					recO		SPR_RS00200	771		old_locus_tag=spr0036
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	36977	37747	+	WP_000616166.1	WP_000616166.1		DNA repair protein RecO	recO		SPR_RS00200	771	256	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	37744	38736	+					plsX		SPR_RS00205	993		old_locus_tag=spr0037
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	37744	38736	+	WP_000717456.1	WP_000717456.1		phosphate acyltransferase PlsX	plsX		SPR_RS00205	993	330	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	38742	38975	+							SPR_RS00210	234		old_locus_tag=spr0038
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	38742	38975	+	WP_000136447.1	WP_000136447.1		acyl carrier protein			SPR_RS00210	234	77	
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39012	39311	+							SPR_RS00215	300		partial;pseudo;old_locus_tag=spr0039
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39012	39311	+				transposase family protein			SPR_RS00215	300		partial;pseudo
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39514	39744	+					blpU		SPR_RS00220	231		old_locus_tag=spr0040
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39514	39744	+	WP_001093075.1	WP_001093075.1		bacteriocin-like peptide BlpU	blpU		SPR_RS00220	231	76	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39747	39872	+							SPR_RS10920	126		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	39747	39872	+	WP_000346297.1	WP_000346297.1		PncF family bacteriocin immunity protein			SPR_RS10920	126	41	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	40224	41500	-							SPR_RS00225	1277		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	40224	41500	-	WP_373032074.1	WP_373032074.1		ISL3-like element IS1167 family transposase			SPR_RS00225	1278	425	ribosomal_slippage
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	41902	44055	+					comA		SPR_RS00230	2154		old_locus_tag=spr0043
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	41902	44055	+	WP_000668290.1	WP_000668290.1		peptide cleavage/export ABC transporter ComA	comA		SPR_RS00230	2154	717	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	44068	45417	+					comB		SPR_RS00235	1350		old_locus_tag=spr0044
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	44068	45417	+	WP_000801613.1	WP_000801613.1		competence pheromone export protein ComB	comB		SPR_RS00235	1350	449	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	45587	46294	+					purC		SPR_RS00240	708		old_locus_tag=spr0045
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	45587	46294	+	WP_000043299.1	WP_000043299.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC		SPR_RS00240	708	235	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	46296	46439	+							SPR_RS11030	144		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	46296	46439	+	WP_050167432.1	WP_050167432.1		hypothetical protein			SPR_RS11030	144	47	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	46496	50221	+							SPR_RS00245	3726		old_locus_tag=spr0046
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	46496	50221	+	WP_000361172.1	WP_000361172.1		phosphoribosylformylglycinamidine synthase			SPR_RS00245	3726	1241	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	50314	51756	+					purF		SPR_RS00250	1443		old_locus_tag=spr0047
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	50314	51756	+	WP_000220650.1	WP_000220650.1		amidophosphoribosyltransferase	purF		SPR_RS00250	1443	480	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	51793	52815	+					purM		SPR_RS00255	1023		old_locus_tag=spr0048
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	51793	52815	+	WP_000182582.1	WP_000182582.1		phosphoribosylformylglycinamidine cyclo-ligase	purM		SPR_RS00255	1023	340	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	52812	53357	+					purN		SPR_RS00260	546		old_locus_tag=spr0049
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	52812	53357	+	WP_000717506.1	WP_000717506.1		phosphoribosylglycinamide formyltransferase	purN		SPR_RS00260	546	181	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	53441	53950	+							SPR_RS00265	510		old_locus_tag=spr0050
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	53441	53950	+	WP_000894018.1	WP_000894018.1		VanZ family protein			SPR_RS00265	510	169	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	53975	55522	+					purH		SPR_RS00270	1548		old_locus_tag=spr0051
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	53975	55522	+	WP_000167096.1	WP_000167096.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		SPR_RS00270	1548	515	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	55644	56906	+					purD		SPR_RS00275	1263		old_locus_tag=spr0052
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	55644	56906	+	WP_000772191.1	WP_000772191.1		phosphoribosylamine--glycine ligase	purD		SPR_RS00275	1263	420	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57163	57279	+							SPR_RS10530	117		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57163	57279	+	WP_001809271.1	WP_001809271.1		hypothetical protein			SPR_RS10530	117	38	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57309	57797	+					purE		SPR_RS00285	489		old_locus_tag=spr0053
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57309	57797	+	WP_000805601.1	WP_000805601.1		5-(carboxyamino)imidazole ribonucleotide mutase	purE		SPR_RS00285	489	162	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57784	58875	+					purK		SPR_RS00290	1092		old_locus_tag=spr0054
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	57784	58875	+	WP_000099031.1	WP_000099031.1		5-(carboxyamino)imidazole ribonucleotide synthase	purK		SPR_RS00290	1092	363	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	58885	59112	+							SPR_RS00295	228		old_locus_tag=spr0055
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	58885	59112	+	WP_000614701.1	WP_000614701.1		hypothetical protein			SPR_RS00295	228	75	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	59175	60473	+					purB		SPR_RS00300	1299		old_locus_tag=spr0056
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	59175	60473	+	WP_000610749.1	WP_000610749.1		adenylosuccinate lyase	purB		SPR_RS00300	1299	432	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	60528	64466	-					strH		SPR_RS00305	3939		old_locus_tag=spr0057
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	60528	64466	-	WP_000679939.1	WP_000679939.1		LPXTG-anchored beta-N-acetylhexosaminidase StrH	strH		SPR_RS00305	3939	1312	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	64781	65497	-							SPR_RS00310	717		old_locus_tag=spr0058
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	64781	65497	-	WP_001007202.1	WP_001007202.1		GntR family transcriptional regulator			SPR_RS00310	717	238	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	65845	67632	+							SPR_RS00315	1788		old_locus_tag=spr0059
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	65845	67632	+	WP_000196552.1	WP_000196552.1		glycoside hydrolase family 35 protein			SPR_RS00315	1788	595	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	67629	68105	+							SPR_RS00320	477		old_locus_tag=spr0060
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	67629	68105	+	WP_000156967.1	WP_000156967.1		PTS sugar transporter subunit IIB			SPR_RS00320	477	158	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	68133	69038	+							SPR_RS00325	906		old_locus_tag=spr0061
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	68133	69038	+	WP_000617001.1	WP_000617001.1		PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC			SPR_RS00325	906	301	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	69025	69840	+							SPR_RS00330	816		old_locus_tag=spr0062
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	69025	69840	+	WP_000185277.1	WP_000185277.1		PTS system mannose/fructose/sorbose family transporter subunit IID			SPR_RS00330	816	271	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	69847	70251	+							SPR_RS00335	405		old_locus_tag=spr0063
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	69847	70251	+	WP_000167454.1	WP_000167454.1		PTS sugar transporter subunit IIA			SPR_RS00335	405	134	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	70549	71715	+							SPR_RS00340	1167		old_locus_tag=spr0064
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	70549	71715	+	WP_000903562.1	WP_000903562.1		SIS domain-containing protein			SPR_RS00340	1167	388	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	71831	72868	+							SPR_RS00345	1038		old_locus_tag=spr0065
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	71831	72868	+	WP_000649427.1	WP_000649427.1		aldose epimerase family protein			SPR_RS00345	1038	345	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	73075	73929	+							SPR_RS00350	855		old_locus_tag=spr0066
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	73075	73929	+	WP_000220694.1	WP_000220694.1		VOC family protein			SPR_RS00350	855	284	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74079	74336	+							SPR_RS00355	258		old_locus_tag=spr0067
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74079	74336	+	WP_000185155.1	WP_000185155.1		metal-sensitive transcriptional regulator			SPR_RS00355	258	85	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74444	74740	-							SPR_RS10535	297		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74444	74740	-	WP_000695851.1	WP_000695851.1		hypothetical protein			SPR_RS10535	297	98	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74794	75027	-							SPR_RS00370	234		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	74794	75027	-	WP_224782640.1	WP_224782640.1		rhodanese-like domain-containing protein			SPR_RS00370	234	77	
gene	pseudogene	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	75080	75262	-							SPR_RS00375	183		partial;pseudo
CDS	without_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	75080	75262	-				rhodanese-like domain-containing protein			SPR_RS00375	183		partial;pseudo
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	75311	76075	+							SPR_RS00380	765		old_locus_tag=spr0068
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	75311	76075	+	WP_000614999.1	WP_000614999.1		nucleoside phosphorylase			SPR_RS00380	765	254	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	76262	76468	-							SPR_RS00385	207		
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	76262	76468	-	WP_165842649.1	WP_165842649.1		hypothetical protein			SPR_RS00385	207	68	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	76686	78065	+							SPR_RS00390	1380		old_locus_tag=spr0070
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	76686	78065	+	WP_000897727.1	WP_000897727.1		TrkH family potassium uptake protein			SPR_RS00390	1380	459	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	78079	78744	+							SPR_RS00395	666		old_locus_tag=spr0071
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	78079	78744	+	WP_001283896.1	WP_001283896.1		potassium channel family protein			SPR_RS00395	666	221	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	79054	79593	+							SPR_RS00400	540		old_locus_tag=spr0072
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	79054	79593	+	WP_000771898.1	WP_000771898.1		glycosyltransferase family 2 protein			SPR_RS00400	540	179	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	79660	80070	+							SPR_RS00405	411		old_locus_tag=spr0074
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	79660	80070	+	WP_000291598.1	WP_000291598.1		hypothetical protein			SPR_RS00405	411	136	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	80186	83671	+					pavB		SPR_RS00410	3486		old_locus_tag=spr0075
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	80186	83671	+	WP_000671444.1	WP_000671444.1		fibronectin-binding SSURE repeat adhesin PavB	pavB		SPR_RS00410	3486	1161	
gene	protein_coding	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	83838	84536	+							SPR_RS00415	699		old_locus_tag=spr0076
CDS	with_protein	GCF_000007045.1	Primary Assembly	chromosome		NC_003098.1	83838	84536	+	WP_000520636.1	WP_000520636.1		response regulator transcription factor			SPR_RS00415	699	232	
